image,old_class,new_class,text,entity_value,entity_field
X51005757351,ITEM,COMPANY,MR. D.I.Y. (M) SDN BHD,MR. D.I.Y. (M) SDN BHD,company
X51005757351,LINE_TOTAL,TOTAL,RM 14.90,14.90,total
X51005757353,ITEM,COMPANY,MR. D.I.Y. (M) SDN BHD,MR. D.I.Y. (M) SDN BHD,company
X51005757353,LINE_TOTAL,TOTAL,RM 12.30,12.30,total
X51005763940,ADDRESS,COMPANY,ELITETRAX MARKETING SDN BHD (616227-D),ELITETRAX MARKETING SDN BHD,company
X51005763940,OTHER,DATE,11.02.18 14:08,11.02.18,date
X51005763940,OTHER,TOTAL,60.00 S6,60.00,total
X51005763940,ITEM,ADDRESS,"LOT 1F-01&02,1ST FLR,PARADIGM MALL,","LOT 1F-01&02,1ST FLR,PARADIGM MALL, NO. 1 JALAN SS 7/26A, KELANA JAYA, 47301 PETALING JAYA",address
X51005806678,ITEM,COMPANY,KAISON FURNISHING SDN BHD,KAISON FURNISHING SDN BHD,company
X51005806678,LINE_TOTAL,TOTAL,"7,838.80",7838.80,total
X51005806679,ITEM,COMPANY,LEE WAH FLORIST SDN BHD,LEE WAH FLORIST SDN BHD,company
X51005806679,LINE_TOTAL,TOTAL,374.20,374.20,total
X51005806679,ITEM,ADDRESS,"129, JALAN TUN H.S LEE,","129, JALAN TUN H.S LEE, 50000 KUALA LUMPUR.",address
X51005806685,LINE_TOTAL,TOTAL,29.00,29.00,total
X51005806685,ITEM,ADDRESS,"NO 1&3, JALAN WANGSA DELIMA 12,","NO 1&3, JALAN WANGSA DELIMA 12, WANGSA LINK, WANGSA MAJU, 53300 KUALA LUMPUR",address
X51005806698,QTY,TOTAL,10%,10.45,total
X51005806698,ITEM,ADDRESS,"NO 1&3, JALAN WANGSA DELIMA 12,","NO 1&3, JALAN WANGSA DELIMA 12, WANGSA LINK, WANGSA MAJU, 53300 KUALA LUMPUR",address
X51005806702,ITEM,COMPANY,SINNATHAMBY HOLDINGS,SINNATHAMBY HOLDINGS SDN. BHD.,company
X51005806702,LINE_TOTAL,TOTAL,13.50,13.50,total
X51005806702,OTHER,ADDRESS,"NO.17, 18 & 41, JALAN BESAR,","NO.17, 18 & 41, JALAN BESAR, 39100 BRINCHANG, CAMERON HIGHLANDS, PAHANG",address
X51005806703,ADDRESS,COMPANY,SINNATHAMBY HOLDINGS SDN. BHD. (249336-T),SINNATHAMBY HOLDINGS SDN. BHD.,company
X51005806703,LINE_TOTAL,TOTAL,109.70,109.70,total
X51005806703,OTHER,ADDRESS,"NO.17,18 & 41,JALAN BESAR,","NO.17,18 & 41,JALAN BESAR,39100 BRINCHANG, CAMERON HIGHLANDS, PAHANG",address
X51005806716,LINE_TOTAL,TOTAL,7.00,7.00,total
X51005806716,ITEM,ADDRESS,"NO 1&3, JALAN WANGSA DELIMA 12,","NO 1&3, JALAN WANGSA DELIMA 12, WANGSA LINK, WANGSA MAJU, 53300 KUALA LUMPUR",address
X51005889296,ITEM,COMPANY,IKANO HANDEL SDN BHD,IKANO HANDEL SDN BHD,company
X51005889296,LINE_TOTAL,TOTAL,22.00,22.00,total
X51005889296,ITEM,ADDRESS,NO 2A JALAN COCHRANE,NO 2A JALAN COCHRANE TAMAN MALURI 55100 KUALA LUMPUR,address
X51006008057,ITEM,COMPANY,TRENDYMAX (M) SDN. BHD.,TRENDYMAX (M) SDN. BHD.,company
X51006008057,LINE_TOTAL,TOTAL,329.10,329.10,total
X51006008073,ITEM,COMPANY,PRINT EXPERT SDN BHD,PRINT EXPERT SDN BHD,company
X51006008073,QTY,TOTAL,100,100.00,total
X51006008073,OTHER,ADDRESS,"NO 18, 20, 22, JALAN BUNGA TANJONG 2/16,","NO 18, 20, 22, JALAN BUNGA TANJONG 2/16, 40000 SHAH ALAM, SELANGOR",address
X51006008074,ITEM,COMPANY,PRINT EXPERT SDN BHD,PRINT EXPERT SDN BHD,company
X51006008074,LINE_TOTAL,TOTAL,4.25,4.25,total
X51006008074,OTHER,ADDRESS,"NO 18, 20, 22, JALAN BUNGA TANJONG 2/16,","NO 18, 20, 22, JALAN BUNGA TANJONG 2/16, 40000 SHAH ALAM, SELANGOR",address
X51006008086,LINE_TOTAL,TOTAL,30.10,30.10,total
X51006008086,ITEM,ADDRESS,"NO 8, JALAN 7/118B, DESA TUN RAZAK","NO 8, JALAN 7/118B, DESA TUN RAZAK 56000 KUALA LUMPUR, MALAYSIA",address
X51006008089,LINE_TOTAL,TOTAL,41.00,41.00,total
X51006008089,ITEM,ADDRESS,"NO 8, JALAN 7/118B, DESA TUN RAZAK","NO 8, JALAN 7/118B, DESA TUN RAZAK 56000 KUALA LUMPUR, MALAYSIA",address
X51006008091,LINE_TOTAL,TOTAL,9.90,9.90,total
X51006008091,ITEM,ADDRESS,"NO 8, JALAN 7/118B, DESA TUN RAZAK","NO 8, JALAN 7/118B, DESA TUN RAZAK 56000 KUALA LUMPUR, MALAYSIA",address
X51006008095,DOCUMENT_NO,COMPANY,BOON SENG PAPER SDN BHD (1248717-W),BOON SENG PAPER SDN BHD,company
X51006008095,LINE_TOTAL,TOTAL,31.80,31.80,total
X51006008197,OTHER,COMPANY,RELAIS TOTAL OULMES,RELAIS TOTAL OULMES,company
X51006008197,ITEM,ADDRESS,AUTOROUTE RABAT MEKNES,AUTOROUTE RABAT MEKNES 15000 KHEMISSET,address
X51006311758,ADDRESS,COMPANY,TONYMOLY VIVA CITY,TONYMOLY VIVA CITY,company
X51006311758,LINE_TOTAL,TOTAL,100.60,100.60,total
X51006311764,ADDRESS,COMPANY,TONYMOLY VIVA CITY,TONYMOLY VIVA CITY,company
X51006311764,LINE_TOTAL,TOTAL,1 * 39.90,39.90,total
X51006311767,ADDRESS,COMPANY,TONYMOLY VIVA CITY,TONYMOLY VIVA CITY,company
X51006311767,LINE_TOTAL,TOTAL,48.95,48.95,total
X51006311778,ADDRESS,COMPANY,ANZEL ADVERTISING (M) SDN BHD (759765-H),ANZEL ADVERTISING (M) SDN BHD,company
X51006311778,LINE_TOTAL,TOTAL,7.40,7.40,total
X51006311778,ITEM,ADDRESS,"UNIT G-5B, GROUND FLOOR, WISMA UOA II,","UNIT G-5B, GROUND FLOOR, WISMA UOA II, NO 21, JALAN PINANG, 50450 KUALA LUMPUR, MALAYSIA",address
X51006311779,ADDRESS,COMPANY,ANZEL ADVERTISING (M) SDN BHD (759765-H),ANZEL ADVERTISING (M) SDN BHD,company
X51006311779,QTY,TOTAL,8,8.50,total
X51006311779,ITEM,ADDRESS,"UNIT G-5B, GROUND FLOOR, WISMA UOA II,","UNIT G-5B, GROUND FLOOR, WISMA UOA II, NO 21, JALAN PINANG, 50450 KUALA LUMPUR, MALAYSIA",address
X51006311780,ITEM,COMPANY,MR. D.I.Y. (KUCHAI) SDN BHD,MR. D.I.Y. (KUCHAI) SDN BHD,company
X51006311780,LINE_TOTAL,TOTAL,RM 119.70,119.70,total
X51006327976,ITEM,COMPANY,PREMIO STATIONERY SDN BHD,PREMIO STATIONERY SDN BHD,company
X51006327976,LINE_TOTAL,TOTAL,25.45,25.45,total
X51006327978,ADDRESS,COMPANY,Y SOON FATT S/B (81497-P),Y SOON FATT S/B,company
X51006327978,LINE_TOTAL,TOTAL,362.50,362.50,total
X51006327978,ITEM,ADDRESS,"LOT 1504, BATU 8 1/2, JALAN KLANG LAMA,","LOT 1504, BATU 8 1/2, JALAN KLANG LAMA, 46000 PETALING JAYA, SELANGOR.",address
X51006328913,ITEM,COMPANY,BEMED (SP) SDN. BHD.,BEMED (SP) SDN BHD,company
X51006328913,OTHER,DATE,02/JAN/2017 10:49:25,02/JAN/2017,date
X51006328913,LINE_TOTAL,TOTAL,165.00,165.00,total
X51006328919,ITEM,COMPANY,B & BEST RESTAURANT,B & BEST RESTAURANT,company
X51006328919,LINE_TOTAL,TOTAL,7.40,7.40,total
X51006328919,ITEM,ADDRESS,"NO.12,JALAN SS4C/5,PETALING JAYA","NO.12, JALAN SS4C/5,PETALING JAYA SELANGOR DARUL EHSAN",address
X51006328920,ITEM,COMPANY,B & BEST RESTAURANT,B & BEST RESTAURANT,company
X51006328920,LINE_TOTAL,TOTAL,14.85,14.85,total
X51006328920,ITEM,ADDRESS,"AN SS4C/5,PETALING JAYA","NO.12, JALAN SS4C/5,PETALING JAYA SELANGOR DARUL EHSAN",address
X51006329395,ITEM,COMPANY,B & BEST RESTAURANT,B & BEST RESTAURANT,company
X51006329395,LINE_TOTAL,TOTAL,7.40,7.40,total
X51006329395,ITEM,ADDRESS,"NO.12,JALAN SS4C/5,PETALING JAYA","NO.12,JALAN SS4C/5,PETALING JAYA SELANGOR DARUL EHSAN",address
X51006329399,ITEM,COMPANY,OLIVE9 PHARMACY SDN BHD,OLIVE9 PHARMACY SDN BHD,company
X51006329399,LINE_TOTAL,TOTAL,12.15,12.15,total
X51006329399,ITEM,ADDRESS,"69 JALAN NOVA U5/N, SEKSYEN U5 SUBANG BE","69 JALAN NOVA U5/N, SEKSYEN U5 SUBANG BE",address
X51006329402,ITEM,COMPANY,SEGI CASH & CARRY SDN. BHD.,SEGI CASH & CARRY SDN. BHD.,company
X51006329402,LINE_TOTAL,TOTAL,50.45,50.45,total
X51006329402,DOCUMENT_NO,ADDRESS,"PT17920 SEK U9, SHAH ALAM","PT17920 SEK U9, SHAH ALAM",address
X51006332575,ITEM,COMPANY,TANJONGMAS BOOKCENTRE (PJ) SDN BHD,TANJONGMAS BOOKCENTRE (PJ) SDN BHD,company
X51006332575,LINE_TOTAL,TOTAL,62.00,62.00,total
X51006332575,ITEM,ADDRESS,"LOT F15, GIANT BANDAR PUTERI","LOT F15, GIANT BANDAR PUTERI JALAN PUTERI 1/1, BDR PUTERI 47100 PUCHONG, SELANGOR",address
X51006332649,ITEM,COMPANY,BEMED (SP) SDN. BHD.,BEMED (SP) SDN. BHD.,company
X51006332649,OTHER,DATE,25/FEB/2017 07:43:54,25/FEB/2017,date
X51006332649,LINE_TOTAL,TOTAL,217.00,217.00,total
X51006334699,ITEM,COMPANY,SEGI CASH & CARRY SDN.BHD,SEGI CASH & CARRY SDN.BHD,company
X51006334699,LINE_TOTAL,TOTAL,12.60,12.60,total
X51006334699,ITEM,ADDRESS,SELANGOR DARUL EHSAN.,"PT17920, SEKSYEN U9, 40150 SHAH ALAM, SELANGOR DARUL EHSAN.",address
X51006334741,ITEM,COMPANY,SEGI CASH & CARRY SDN.BHD,SEGI CASH & CARRY SDN.BHD,company
X51006334741,LINE_TOTAL,TOTAL,20.05,20.05,total
X51006334741,ITEM,ADDRESS,SELANGOR DARUL EHSAN.,"PT17920, SEKSYEN U9, 40150 SHAH ALAM, SELANGOR DARUL EHSAN.",address
X51006334926,ITEM,COMPANY,GOLDEN ARCHES RESTAURANTS SDN BHD,GOLDEN ARCHES RESTAURANTS SDN BHD,company
X51006334926,LINE_TOTAL,TOTAL,29.30,29.30,total
X51006334926,ITEM,ADDRESS,"LEVEL 6, BANGUNAN TH, DAMANSARA UPTOWN3","LEVEL 6, BANGUNAN TH, DAMANSARA UPTOWN3 NO.3, JALAN SS21/39,47400 PETALING JAYA SELANGOR",address
X51006335314,ITEM,COMPANY,MEI LET RESTAURANT,MEI LET RESTAURANT,company
X51006335314,LINE_TOTAL,TOTAL,67.85,67.85,total
X51006335314,ITEM,ADDRESS,"NO 2, JALAN BULAN BM U5/BM, SEKSYEN U5,","NO 2, JALAN BULAN BM U5/BM, SEKSYEN U5, 40150 SHAH ALAM, SELANGOR",address
X51006335547,ADDRESS,COMPANY,KING'S CONFECTIONERY S/B 273500-U (GKJ),KING'S CONFECTIONERY S/B,company
X51006335547,LINE_TOTAL,TOTAL,7.50,7.50,total
X51006335547,ITEM,ADDRESS,"PUSAT BANDAR KELANA JAYA, PETALING","LOT NO. G23, GIANT KELANA JAYA LOT PT244, JLN PERBANDARAN SS6/4 PUSAT BANDAR KELANA JAYA, PETALING",address
X51006335552,ADDRESS,COMPANY,YONG SOON FATT S/B (81497-P),YONG SOON FATT S/B,company
X51006335552,LINE_TOTAL,TOTAL,758.70,758.70,total
X51006335552,ITEM,ADDRESS,"LOT 1504, BATU 8 1/2, JALAN KLANG LAMA,","LOT 1504, BATU 8 1/2, JALAN KLANG LAMA, 46000 PETALING JAYA, SELANGOR.",address
X51006349086,ADDRESS,COMPANY,FIRST CITY PARKING SDN BHD,AMPANG 210 FIRST CITY PARKING SDN BHD,company
X51006349086,OTHER,TOTAL,RM7.00,RM7.00,total
X51006349086,ITEM,ADDRESS,"THE TUBE, 1/39, DATARAN PRIMA","A-09-10 PRIMA AVENUE THE TUBE, 1/39, DATARAN PRIMA 47301 PETALING JAYA SELANGOR DE",address
X51006350750,ITEM,COMPANY,GL HANDICRAFT & TAII ORING,GL HANDICRAFT & TAII ORING,company
X51006350750,LINE_TOTAL,TOTAL,130.00,130.00,total
X51006350763,ITEM,COMPANY,GL HANDICRAFT & TAII ORING,GL HANDICRAFT & TAII ORING,company
X51006350763,LINE_TOTAL,TOTAL,104.00,104.00,total
X51006387740,ITEM,COMPANY,ARTRANGE STATIONERS & PRINT SDN BHD,ARTRANGE STATIONERS & PRINT SDN BHD,company
X51006387740,LINE_TOTAL,TOTAL,15.40,15.40,total
X51006387740,ITEM,ADDRESS,44 JALAN SS21/58 DAMANSARA UTAMA,44 JALAN SS21/58 DAMANSARA UTAMA 47400 PETALING JAYA,address
X51006387812,ITEM,COMPANY,TIMES BOOKSTORES,TIMES BOOKSTORES,company
X51006387812,LINE_TOTAL,TOTAL,12.37,12.37,total
X51006387812,ITEM,ADDRESS,"LOT F21 @ 22, CITTA MALL","LOT F21 & 22, CITTA MALL NO 1, JLN PJU 1A/4 47301",address
X51006387813,ITEM,COMPANY,TOKYO KITCHEN (CITTA MALL),TOKYO KITCHEN (CITTA MALL) TOKYO KITCHEN SDN BHD,company
X51006387813,LINE_TOTAL,TOTAL,113.80,113.80,total
X51006387847,ITEM,COMPANY,BEMED (SP) SDN. BHD.,BEMED (SP) SDN. BHD.,company
X51006387847,OTHER,DATE,15/APR/2017 04:56:46,15/APR/2017,date
X51006387847,LINE_TOTAL,TOTAL,635.00,635.00,total
X51006387850,ITEM,COMPANY,YONG CEN ENTERPRISE,YONG CEN ENTERPRISE,company
X51006387850,LINE_TOTAL,TOTAL,94.00,94.00,total
X51006387932,ITEM,COMPANY,BILLION SIX ENTERPRISE,BILLION SIX ENTERPRISE,company
X51006387932,LINE_TOTAL,TOTAL,12.00,12.00,total
X51006387951,ADDRESS,COMPANY,AMANO MALAYSIA SDN BHD (682288-V),AMANO MALAYSIA SDN BHD,company
X51006387951,OTHER,TOTAL,RM3.00,RM3.00,total
X51006387953,ADDRESS,COMPANY,AMANO MALAYSIA SDN BHD (682288-V),AMANO MALAYSIA SDN BHD,company
X51006387953,OTHER,TOTAL,RM1.00,RM1.00,total
X51006387971,ADDRESS,COMPANY,99 SPEED MART S/B (519537-X),99 SPEED MART S/B,company
X51006387971,LINE_TOTAL,TOTAL,42.35,42.35,total
X51006388044,ITEM,COMPANY,PERNIAGAAN RIANG RIA,PERNIAGAAN RIANG RIA,company
X51006388044,LINE_TOTAL,TOTAL,22.60,22.60,total
X51006388044,ITEM,ADDRESS,"NO7,JLN UERO,SHAH ALAM.","NO7,JLN UERO,SHAH ALAM.",address
X51006388064,ITEM,COMPANY,BEMED (SP) SDN. BHD.,BEMED (SP) SDN. BHD.,company
X51006388064,OTHER,DATE,14/MAY/2017 02:56:39,14/MAY/2017,date
X51006388064,LINE_TOTAL,TOTAL,191.20,191.20,total
X51006388065,ADDRESS,COMPANY,99 SPEED MART S/B (519537-X),99 SPEED MART S/B,company
X51006388065,OTHER,TOTAL,RM20.80 S,20.80,total
X51006388066,ITEM,COMPANY,HERO DISTRIBUTION SDN BHD,HERO DISTRIBUTION SDN BHD,company
X51006388066,LINE_TOTAL,TOTAL,41.50,41.50,total
X51006388066,ITEM,ADDRESS,"4243,COMPLEKS PERNIAGAAN SRI GAYA,","4243,COMPLEKS PERNIAGAAN SRI GAYA, JLN TMN SUBANG JASA 3, 40150 SELANGOR",address
X51006388069,ITEM,COMPANY,SEGI CASH & CARRY SDN. BHD.,SEGI CASH & CARRY SDN. BHD.,company
X51006388069,LINE_TOTAL,TOTAL,118.35,118.35,total
X51006388069,DOCUMENT_NO,ADDRESS,"PT17920 SEK U9, SHAH ALAM","PT17920 SEK U9, SHAH ALAM",address
X51006388082,ADDRESS,COMPANY,BROADVIEW MARKETING SDN BHD(728384-M),BROADVIEW MARKETING SDN BHD,company
X51006388082,LINE_TOTAL,TOTAL,4.70,4.70,total
X51006388082,ITEM,ADDRESS,"TAMAN SUBANG PERDANA, SEK,U3,","NO. 9-G, JALAN DINAR D U3/D TAMAN SUBANG PERDANA, SEK,U3, 40150 SHAH ALAM,SELANGOR D.E.",address
X51006389865,ITEM,COMPANY,RESTORAN WAN SHENG,RESTORAN WAN SHENG,company
X51006389865,LINE_TOTAL,TOTAL,62.80,62.80,total
X51006389865,ITEM,ADDRESS,"SEKSYEN 9, BANDAR MAHKOTA CHERAS,","NO. 2, JALAN TEMENGGUNG 19/9, SEKSYEN 9, BANDAR MAHKOTA CHERAS, 43200 CHERAS, SELANGOR",address
X51006389884,ADDRESS,COMPANY,99 SPEED MART S/B (519537-X),99 SPEED MART S/B,company
X51006389884,LINE_TOTAL,TOTAL,182.00,182.00,total
X51006389888,ADDRESS,COMPANY,99 SPEED MART S/B (519537-X),99 SPEED MART S/B,company
X51006389888,LINE_TOTAL,TOTAL,52.10,52.10,total
X51006389893,ITEM,COMPANY,IN-SPARKLE TRADING SDN BHD,IN-SPARKLE TRADING SDN BHD,company
X51006389893,LINE_TOTAL,TOTAL,250.00,250.00,total
X51006389963,ADDRESS,COMPANY,ELKEN SERVICE SDN BHD (310184-X),ELKEN SERVICE SDN BHD,company
X51006389963,LINE_TOTAL,TOTAL,250.00,250.00,total
X51006392122,ITEM,COMPANY,FIVE STAR CASH & CARRY,FIVE STAR CASH & CARRY,company
X51006392122,OTHER,TOTAL,45.00 S,45.00,total
X51006392122,ITEM,ADDRESS,"G.23 & G.22, PLAZA SERI SETIA,","G.23 & G.22, PLAZA SERI SETIA, NO.1 JALAN SS 9/1, 47300 PJ, SELANGOR.",address
X51006392273,ADDRESS,COMPANY,BROADVIEW MARKETING SDN BHD(728384-M),BROADVIEW MARKETING SDN BHD,company
X51006392273,LINE_TOTAL,TOTAL,18.00,18.00,total
X51006392273,ITEM,ADDRESS,"TAMAN SUBANG PERDANA, SEK,U3,","NO. 9-G, JALAN DINAR D U3/D TAMAN SUBANG PERDANA, SEK,U3, 40150 SHAH ALAM,SELANGOR D.E.",address
X51006392299,ITEM,COMPANY,BEMED (SP) SDN. BHD.,BEMED (SP) SDN. BHD.,company
X51006392299,OTHER,DATE,14/JUN/2017 08:34:22,14/JUN/2017,date
X51006392299,LINE_TOTAL,TOTAL,165.00,165.00,total
X51006392313,ITEM,COMPANY,SUPER.SEVEN CASH & CARRY SDN BHD,SUPER.SEVEN CASH & CARRY SDN BHD,company
X51006392313,OTHER,TOTAL,RM28.05,RM28.05,total
X51006393376,ADDRESS,COMPANY,99 SPEED MART S/B (519537-X),99 SPEED MART S/B,company
X51006393376,LINE_TOTAL,TOTAL,11.50,11.50,total
X51006393377,ADDRESS,COMPANY,99 SPEED MART S/B (519537-X),99 SPEED MART S/B,company
X51006393377,LINE_TOTAL,TOTAL,72.75,72.75,total
X51006401723,ITEM,COMPANY,S&Y STATIONERY,S&Y STATIONERY,company
X51006401723,OTHER,DATE,05-JAN-2017 03:17:50 PM,05-JAN-2017,date
X51006401723,LINE_TOTAL,TOTAL,72.00,72.00,total
X51006401836,ITEM,COMPANY,FIVE STAR CASH & CARRY,FIVE STAR CASH & CARRY,company
X51006401836,OTHER,TOTAL,19.80 S,19.80,total
X51006401869,ADDRESS,COMPANY,KING'S CONFECTIONERY S/B 273500-U (KJ1),KING'S CONFECTIONERY S/B,company
X51006401869,OTHER,TOTAL,19.20 S,19.20,total
X51006401869,ITEM,ADDRESS,"NO. 20-A1, JALAN SS6/3, KELANA JAYA,","NO. 20-A1, JALAN SS6/3, KELANA JAYA, 47301 PETALING JAYA SELANGOR D.E.",address
X51006401978,ITEM,COMPANY,B & BEST RESTAURANT,B & BEST RESTAURANT,company
X51006401978,LINE_TOTAL,TOTAL,22.25,22.25,total
X51006401978,ITEM,ADDRESS,"NO.12,JALAN SS4C/5,PETALING JAYA","NO.12,JALAN SS4C/5,PETALING JAYA SELANGOR DARUL EHSAN",address
X51006414392,ITEM,COMPANY,DI HUAN YA RESTAURANT,DI HUAN YA RESTAURANT,company
X51006414392,LINE_TOTAL,TOTAL,35.00,35.00,total
X51006414392,ITEM,ADDRESS,"BANDAR BARU PERMAS JAYA,","5,JALAN PERMAS 10/5, BANDAR BARU PERMAS JAYA, 81750 JOHOR BAHRU,JOHOR",address
X51006414394,ITEM,COMPANY,RESTORAN SIAM VILLAGE,RESTORAN SIAM VILLAGE,company
X51006414394,LINE_TOTAL,TOTAL,275.90,275.90,total
X51006414429,ITEM,COMPANY,UNIHAKKA INTERNATIONAL SDN BHD,UNIHAKKA INTERNATIONAL SDN BHD,company
X51006414429,ITEM,ADDRESS,"12, JALAN TAMPOI 7/4,KAWASAN PERINDUSTRIAN","12, JALAN TAMPOI 7/4,KAWASAN PERINDUSTRIAN TAMPOI,81200 JOHOR BAHRU,JOHOR",address
X51006414431,ITEM,COMPANY,UNIHAKKA INTERNATIONAL SDN BHD,UNIHAKKA INTERNATIONAL SDN BHD,company
X51006414431,LINE_TOTAL,TOTAL,$7.10,$7.10,total
X51006414431,ITEM,ADDRESS,"12, JALAN TAMPOI 7/4,KAWASAN PERINDUSTRIAN","12, JALAN TAMPOI 7/4,KAWASAN PERINDUSTRIAN TAMPOI,81200 JOHOR BAHRU,JOHOR",address
X51006414470,ITEM,COMPANY,UNIHAKKA INTERNATIONAL SDN BHD,UNIHAKKA INTERNATIONAL SDN BHD,company
X51006414470,ITEM,ADDRESS,"12, JALAN TAMPOI 7/4,KAWASAN PERINDUSTRIAN","12, JALAN TAMPOI 7/4,KAWASAN PERINDUSTRIAN TAMPOI,81200 JOHOR BAHRU,JOHOR",address
X51006414483,ITEM,COMPANY,UNIHAKKA INTERNATIONAL SDN BHD,UNIHAKKA INTERNATIONAL SDN BHD,company
X51006414483,ITEM,ADDRESS,"12, JALAN TAMPOI 7/4,KAWASAN PERINDUSTRIAN","12, JALAN TAMPOI 7/4,KAWASAN PERINDUSTRIAN TAMPOI,81200 JOHOR BAHRU,JOHOR",address
X51006414485,ITEM,COMPANY,UNIHAKKA INTERNATIONAL SDN BHD,UNIHAKKA INTERNATIONAL SDN BHD,company
X51006414485,ITEM,ADDRESS,"12, JALAN TAMPOI 7/4,KAWASAN PERINDUSTRIAN","12, JALAN TAMPOI 7/4,KAWASAN PERINDUSTRIAN TAMPOI,81200 JOHOR BAHRU,JOHOR",address
X51006414519,ITEM,COMPANY,HASHA PETROKIOSK,HASHA PETROKIOSK,company
X51006414519,OTHER,TOTAL,50.00 C,50.00,total
X51006414533,ITEM,COMPANY,BHPETROL PERMAS JAYA 2,BHPETROL PERMAS JAYA 2,company
X51006414533,QTY,TOTAL,50,50.00,total
X51006414533,ITEM,ADDRESS,JALAN PERMAS 10/10,"LOT PTD 101051 JALAN PERMAS 10/10 81750 MASAI, JOHOR",address
X51006414599,ITEM,COMPANY,LAVENDER CONFECTIONERY & BAKERY S/B,LAVENDER CONFECTIONERY & BAKERY S/B,company
X51006414599,LINE_TOTAL,TOTAL,12.30,12.30,total
X51006414631,ITEM,COMPANY,UNIHAKKA INTERNATIONAL SDN BHD,UNIHAKKA INTERNATIONAL SDN BHD,company
X51006414631,ITEM,ADDRESS,"12, JALAN TAMPOI 7/4,KAWASAN PERINDUSTRIAN","12, JALAN TAMPOI 7/4,KAWASAN PERINDUSTRIAN TAMPOI,81200 JOHOR BAHRU,JOHOR",address
X51006414633,ITEM,COMPANY,UNIHAKKA INTERNATIONAL SDN BHD,UNIHAKKA INTERNATIONAL SDN BHD,company
X51006414633,ITEM,ADDRESS,"12, JALAN TAMPOI 7/4,KAWASAN PERINDUSTRIAN","12, JALAN TAMPOI 7/4,KAWASAN PERINDUSTRIAN TAMPOI,81200 JOHOR BAHRU,JOHOR",address
X51006414636,ADDRESS,COMPANY,SELASIH EKSLUSIF SDN BHD (524101-D),SELASIH EKSLUSIF SDN BHD,company
X51006414636,OTHER,TOTAL,270.00 SR,270.00,total
X51006414636,ITEM,ADDRESS,88 JALAN IBRAHIM SULTAN,88 JALAN IBRAHIM SULTAN STULANG LAUT 80300 JOHOR BAHRU,address
X51006414638,ITEM,COMPANY,PASAR MINI JIN SENG,PASAR MINI JIN SENG,company
X51006414638,LINE_TOTAL,TOTAL,44.90,44.90,total
X51006414671,ITEM,COMPANY,UNIHAKKA INTERNATIONAL SDN BHD,UNIHAKKA INTERNATIONAL SDN BHD,company
X51006414671,ITEM,ADDRESS,"12, JALAN TAMPOI 7/4,KAWASAN PERINDUSTRIAN","12, JALAN TAMPOI 7/4,KAWASAN PERINDUSTRIAN TAMPOI,81200 JOHOR BAHRU,JOHOR",address
X51006414674,ITEM,COMPANY,DOMINO'S PIZZA,DOMINO'S PIZZA,company
X51006414674,LINE_TOTAL,TOTAL,25.60,25.60,total
X51006414675,ITEM,COMPANY,DOMINO'S PIZZA,DOMINO'S PIZZA,company
X51006414675,LINE_TOTAL,TOTAL,21.60,21.60,total
X51006414677,ITEM,COMPANY,& TEA LEAF (M) SDN. BHD.,THE COFFEE BEAN & TEA LEAF (M) SDN. BHD.,company
X51006414677,LINE_TOTAL,TOTAL,12.00,12.00,total
X51006414679,ITEM,COMPANY,DE MAXIMUM THAI EXPRESS SDN BHD,DE MAXIMUM THAI EXPRESS SDN BHD,company
X51006414679,LINE_TOTAL,TOTAL,21.80,21.80,total
X51006414680,LINE_TOTAL,TOTAL,DISC 30% @1.75,1.75,total
X51006414680,ITEM,ADDRESS,"3RD FLR, AEON TAMAN MALURI SC","3RD FLR, AEON TAMAN MALURI SC JLN JEJAKA, TAMAN MALURI CHERAS, 55100 KUALA LUMPUR",address
X51006414700,LINE_TOTAL,TOTAL,10.20,10.20,total
X51006414700,ITEM,ADDRESS,"3RD FLR, AEON TAMAN MALURI SC","3RD FLR, AEON TAMAN MALURI SC JLN JEJAKA, TAMAN MALURI CHERAS, 55100 KUALA LUMPUR",address
X51006414703,LINE_TOTAL,TOTAL,98.35,98.35,total
X51006414703,ITEM,ADDRESS,"3RD FLR, AEON TAMAN MALURI SC","3RD FLR, AEON TAMAN MALURI SC JLN JEJAKA, TAMAN MALURI CHERAS, 55100 KUALA LUMPUR",address
X51006414711,ITEM,COMPANY,DOMINO'S PIZZA,DOMINO'S PIZZA,company
X51006414711,LINE_TOTAL,TOTAL,30.90,30.90,total
X51006414711,ITEM,ADDRESS,"30, JLN KEBUDAYAAN 7, TMN UNIVERSITI","DOMINO'S PIZZA TAMAN UNIVERSITI 30, JLN KEBUDAYAAN 7, TMN UNIVERSITI 81300 SKUDAI, JOHOR",address
X51006414712,ITEM,COMPANY,DOMINO'S PIZZA,DOMINO'S PIZZA,company
X51006414712,LINE_TOTAL,TOTAL,39.60,39.60,total
X51006414712,ITEM,ADDRESS,"30, JLN KEBUDAYAAN 7, TMN UNIVERSITI","DOMINO'S PIZZA TAMAN UNIVERSITI 30, JLN KEBUDAYAAN 7, TMN UNIVERSITI 81300 SKUDAI, JOHOR",address
X51006414713,ADDRESS,COMPANY,YHM AEON TEBRAU CITY,YHM AEON TEBRAU CITY,company
X51006414713,LINE_TOTAL,TOTAL,81.80,81.80,total
